;Course;Distance;Coordinate
1;19.85°;0.04nm;"N 60°13.4605' - E  5°09.4467'"
2;46.94°;0.05nm;"N 60°13.4976' - E  5°09.5268'"
3;101.99°;0.07nm;"N 60°13.4837' - E  5°09.6585'"
4;114.10°;0.07nm;"N 60°13.4563' - E  5°09.7821'"
5;119.43°;0.16nm;"N 60°13.3792' - E  5°10.0572'"
6;114.87°;0.22nm;"N 60°13.2878' - E  5°10.4542'"
7;121.58°;0.47nm;"N 60°13.0417' - E  5°11.2599'"
8;113.55°;1.65nm;"N 60°12.3821' - E  5°14.3025'"
9;112.85°;0.72nm;"N 60°12.1021' - E  5°15.6396'"
10;88.23°;0.49nm;"N 60°12.1172' - E  5°16.6251'"
11;58.95°;0.63nm;"N 60°12.4426' - E  5°17.7134'"
12;18.85°;0.26nm;"N 60°12.6849' - E  5°17.8799'"
13;356.93°;0.27nm;"N 60°12.9522' - E  5°17.8510'"
14;338.51°;0.49nm;"N 60°13.4080' - E  5°17.4897'"
