cluster,num_businesses,total_alightings,total_boardings,total_population
0,399,1251998,1281674,5566
1,25,11119,9420,265
2,100,89703,96506,1261
3,37,10332,9748,288
4,29,6689,5805,214
5,51,16745,17892,578
6,163,141983,146278,2538
7,33,7380,6838,281
8,673,2562686,2580452,11609
9,20,27326,32076,278
10,7,586,468,54
11,194,156640,157306,2961
12,8,1014,1039,67
13,198,94173,93054,2177
14,128,97685,95146,1924
15,62,25114,25513,676
16,17,7685,8117,164
17,457,659038,669739,3531
18,529,586453,578450,8709
19,156,114144,132116,3097
20,19,11208,9224,384
21,185,61273,66011,1472
22,7,993,1099,42
23,39,12902,14414,448
24,54,52398,57555,945
25,37,23318,24544,531
26,523,936576,852822,9392
27,64,30998,30652,654
28,21,7628,6603,192
29,182,140994,144699,2399
30,29,19639,20369,425
31,636,1036159,1057939,8473
32,9,19154,19920,236
33,86,40178,41929,964
34,26,12372,12486,299
35,750,1286705,1231868,8923
36,6,8733,8087,129
37,33,21531,21848,536
38,79,28857,29410,1073
39,155,90955,71959,2413
40,174,100081,89069,2119
41,15,8842,8613,176
42,10,5628,6478,130
43,615,1918302,1969661,9935
44,267,187905,177361,2954
45,5,1754,2796,37
46,24,33465,35330,537
47,95,75825,76722,1287
48,12,7287,7427,98
49,41,6311,7553,536
50,86,66984,61902,1496
51,92,47525,45203,1259
52,141,75545,76865,1331
53,943,418559,442642,6694
54,21,12670,14167,220
55,34,8440,10782,318
56,170,120438,121596,2040
57,40,40511,40721,412
58,180,123411,134508,3215
59,5725,11273818,11549675,20797
60,44,35374,32500,531
61,706,958237,951854,4425
62,10,7287,7192,296
63,45,32566,31664,925
64,25,13794,13524,403
65,54,38388,39924,1195
66,40,16665,17042,352
67,432,1042360,1062859,5565
68,29,18909,19376,499
69,33,286726,282855,525
70,12,3455,5107,126
71,271,434550,450511,3144
72,1156,1206559,1236234,9689
73,70,44983,44354,952
74,23,19070,19375,410
75,70,28539,29515,772
76,46,43064,46266,806
77,1,0,0,3
78,144,225634,224103,3324
79,109,86652,83613,1625
80,593,908249,881244,10999
81,113,16301,11045,545
82,150,251945,253045,1654
83,32,62150,60597,303
84,1810,3750800,3487828,14978
85,79,50159,48574,1550
86,679,1822036,1836477,9489
87,30,15903,16662,547
88,484,116068,100152,1281
89,79,26607,27646,737
90,125,61208,102510,2004
91,22,6542,5840,269
92,169,136717,140777,2517
93,332,406224,378308,5096
94,90,247323,248828,1177
95,2237,3610752,3573452,22807
96,253,204332,198760,4423
97,4,465,1269,43
98,24,12074,12356,375
99,450,599547,588034,4266
100,44,47659,49440,736
101,30,5313,4924,157
102,23,6919,6897,239
103,11,1773,1028,88
104,80,53482,56779,684
105,12,2763,2501,157
106,400,1590017,1600440,6721
107,1169,1248478,1240364,14482
108,60,69773,69263,1153
109,21,7405,7504,244
110,8,15631,13656,132
111,29,24959,26975,704
112,25,10439,10368,269
113,23,4395,4645,199
114,11,228,424,29
115,279,337644,340313,3300
116,59,50154,53472,789
117,36,10394,10448,376
118,37,3237,3907,182
119,230,182263,183574,3089
120,44,15789,15070,331
121,292,311550,297794,3363
122,34,8021,7429,350
123,10,2769,3321,48
124,27,11922,11924,277
125,42,15317,14902,529
126,48,44769,47639,1184
127,90,30604,29591,581
128,72,70775,72047,1015
129,49,44918,52048,434
